,basicblock,benchmark,count,function,max,mean,median,min,run,seed,stddev
50,vector.body,CrossingThresholds-flt,1.0,s1281,9327596580.0,4663800000.0,8003586.0,9327596580.0,2,2,4663800000.0
51,vector.body,CrossingThresholds-flt,1.0,s1281,9011779057.0,4505890000.0,8003586.0,9011779057.0,1,3,4505890000.0
52,vector.body,CrossingThresholds-flt,1.0,s1281,9414392345.0,4707200000.0,8003586.0,9414392345.0,1,1,4707200000.0
53,vector.body,CrossingThresholds-flt,1.0,s1281,9381542480.0,4690770000.0,8003586.0,9381542480.0,2,6,4690770000.0
54,vector.body,CrossingThresholds-flt,1.0,s1281,9697685837.0,4848840000.0,8003586.0,9697685837.0,1,5,4848840000.0
55,vector.body,CrossingThresholds-flt,1.0,s1281,9438895404.0,4719450000.0,8003586.0,9438895404.0,2,5,4719450000.0
56,vector.body,CrossingThresholds-flt,1.0,s1281,9479442008.0,4739720000.0,8003586.0,9479442008.0,1,0,4739720000.0
57,vector.body,CrossingThresholds-flt,1.0,s1281,9794463343.0,4897230000.0,8003586.0,9794463343.0,2,4,4897230000.0
58,vector.body,CrossingThresholds-flt,1.0,s1281,10072951364.0,5036480000.0,8003586.0,10072951364.0,1,2,5036480000.0
59,vector.body,CrossingThresholds-flt,1.0,s1281,9272739763.0,4636370000.0,8003586.0,9272739763.0,1,8,4636370000.0
60,vector.body,CrossingThresholds-flt,1.0,s1281,9219763191.0,4609880000.0,8003586.0,9219763191.0,2,3,4609880000.0
61,vector.body,CrossingThresholds-flt,1.0,s1281,10200530297.0,5100270000.0,8003586.0,10200530297.0,2,0,5100270000.0
62,vector.body,CrossingThresholds-flt,1.0,s1281,9891469143.0,4945730000.0,8003586.0,9891469143.0,1,10,4945730000.0
63,vector.body,CrossingThresholds-flt,1.0,s1281,9603114549.0,4801560000.0,8003586.0,9603114549.0,2,1,4801560000.0
64,vector.body,CrossingThresholds-flt,1.0,s1281,9980473566.0,4990240000.0,8003586.0,9980473566.0,2,8,4990240000.0
65,vector.body,CrossingThresholds-flt,1.0,s1281,9977735048.0,4988870000.0,8003586.0,9977735048.0,2,10,4988870000.0
66,if.then.1,Packing-flt,1.0,s343,5054288122.0,2527140000.0,8003586.0,5054288122.0,1,7,2527140000.0
67,if.then.1,Packing-flt,1.0,s343,5236955349.0,2618480000.0,8003586.0,5236955349.0,1,6,2618480000.0
68,if.then.1,Packing-flt,1.0,s343,5097998593.0,2549000000.0,8003586.0,5097998593.0,2,7,2549000000.0
69,if.then.1,Packing-flt,1.0,s343,5150606087.0,2575300000.0,8003586.0,5150606087.0,1,4,2575300000.0
70,if.then.1,Packing-flt,1.0,s343,5040380573.0,2520190000.0,8003586.0,5040380573.0,2,9,2520190000.0
71,if.then.1,Packing-flt,1.0,s343,5018162852.0,2509080000.0,8003586.0,5018162852.0,1,9,2509080000.0
72,if.then.1,Packing-flt,1.0,s343,4998333617.0,2499170000.0,8003586.0,4998333617.0,2,2,2499170000.0
73,if.then.1,Packing-flt,1.0,s343,4993524761.0,2496760000.0,8003586.0,4993524761.0,1,3,2496760000.0
74,if.then.1,Packing-flt,1.0,s343,4987159422.0,2493580000.0,8003586.0,4987159422.0,1,1,2493580000.0
75,if.then.1,Packing-flt,1.0,s343,4852987532.0,2426490000.0,8003586.0,4852987532.0,2,6,2426490000.0
76,if.then.1,Packing-flt,1.0,s343,5142198724.0,2571100000.0,8003586.0,5142198724.0,1,5,2571100000.0
77,if.then.1,Packing-flt,1.0,s343,5039845168.0,2519920000.0,8003586.0,5039845168.0,2,5,2519920000.0
78,if.then.1,Packing-flt,1.0,s343,5065499245.0,2532750000.0,8003586.0,5065499245.0,1,0,2532750000.0
79,if.then.1,Packing-flt,1.0,s343,5080005733.0,2540000000.0,8003586.0,5080005733.0,2,4,2540000000.0
80,if.then.1,Packing-flt,1.0,s343,4823586725.0,2411790000.0,8003586.0,4823586725.0,1,2,2411790000.0
81,if.then.1,Packing-flt,1.0,s343,4854959779.0,2427480000.0,8003586.0,4854959779.0,1,8,2427480000.0
82,if.then.1,Packing-flt,1.0,s343,5072714107.0,2536360000.0,8003586.0,5072714107.0,2,3,2536360000.0
83,if.then.1,Packing-flt,1.0,s343,4843262664.0,2421630000.0,8003586.0,4843262664.0,2,0,2421630000.0
84,if.then.1,Packing-flt,1.0,s343,5235778382.0,2617890000.0,8003586.0,5235778382.0,1,10,2617890000.0
85,if.then.1,Packing-flt,1.0,s343,5156865534.0,2578430000.0,8003586.0,5156865534.0,2,1,2578430000.0
86,if.then.1,Packing-flt,1.0,s343,5029786577.0,2514890000.0,8003586.0,5029786577.0,2,8,2514890000.0
87,if.then.1,Packing-flt,1.0,s343,5056968152.0,2528480000.0,8003586.0,5056968152.0,2,10,2528480000.0
88,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,174999.0,224.973,208.0,156.0,1,7,543.716
89,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,199425.0,226.797,208.0,156.0,1,6,527.634
90,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,121041.0,225.705,208.0,156.0,2,7,541.252
91,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,126613.0,225.754,208.0,156.0,1,4,532.326
92,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,181457.0,215.884,208.0,156.0,2,9,518.49
93,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,178488.0,215.287,208.0,156.0,1,9,531.444
94,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,119582.0,222.706,208.0,156.0,2,2,517.75
95,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,126926.0,209.691,208.0,156.0,1,3,498.636
96,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,126873.0,222.293,208.0,156.0,1,1,522.396
97,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,130259.0,227.7,209.0,156.0,2,6,528.125
98,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,124113.0,229.677,209.0,156.0,1,5,520.359
99,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,125988.0,229.364,209.0,156.0,2,5,542.867
100,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,127968.0,234.266,209.0,156.0,1,0,539.164
101,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,124999.0,225.579,208.0,156.0,2,4,520.353
102,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,160936.0,222.918,208.0,156.0,1,2,497.659
103,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,132447.0,222.802,208.0,156.0,1,8,549.78
104,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,139270.0,211.369,208.0,156.0,2,3,535.337
105,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,124270.0,231.93,209.0,156.0,2,0,534.326
106,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,140154.0,227.786,209.0,156.0,1,10,504.561
107,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,163748.0,224.427,208.0,156.0,2,1,539.826
108,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,145208.0,221.124,208.0,156.0,2,8,505.725
109,do.body,7zip-benchmark,7996498.0,LitEnc_GetPriceMatched,143280.0,228.393,209.0,156.0,2,10,544.058
110,entry,8b10b,,calc,,,,,1,7,
111,entry,8b10b,,calc,,,,,1,6,
112,entry,8b10b,,calc,,,,,2,7,
113,entry,8b10b,,calc,,,,,1,4,
114,entry,8b10b,,calc,,,,,2,9,
115,entry,8b10b,,calc,,,,,1,9,
116,entry,8b10b,,calc,,,,,2,2,
117,entry,8b10b,,calc,,,,,1,3,
118,entry,8b10b,,calc,,,,,1,1,
119,entry,8b10b,,calc,,,,,2,6,
120,entry,8b10b,,calc,,,,,1,5,
121,entry,8b10b,,calc,,,,,2,5,
122,entry,8b10b,,calc,,,,,1,0,
123,entry,8b10b,,calc,,,,,2,4,
124,entry,8b10b,,calc,,,,,1,2,
125,entry,8b10b,,calc,,,,,1,8,
126,entry,8b10b,,calc,,,,,2,3,
127,entry,8b10b,,calc,,,,,2,0,
128,entry,8b10b,,calc,,,,,1,10,
129,entry,8b10b,,calc,,,,,2,1,
130,entry,8b10b,,calc,,,,,2,8,
131,entry,8b10b,,calc,,,,,2,10,
132,for.body6,adi,2.0,kernel_adi,9582567112.0,9580770000.0,9578973981.0,9578973981.0,1,7,1796570.0
133,for.body6,adi,2.0,kernel_adi,9715862782.0,9687710000.0,9659548188.0,9659548188.0,1,6,28157300.0
134,for.body6,adi,2.0,kernel_adi,9679749512.0,9625310000.0,9570867761.0,9570867761.0,2,7,54440900.0
135,for.body6,adi,2.0,kernel_adi,9557891768.0,9554730000.0,9551562703.0,9551562703.0,1,4,3164530.0
136,for.body6,adi,2.0,kernel_adi,9662262040.0,9641230000.0,9620197022.0,9620197022.0,2,9,21032500.0
137,for.body6,adi,2.0,kernel_adi,9582726918.0,9581450000.0,9580168179.0,9580168179.0,1,9,1279370.0
138,for.body6,adi,2.0,kernel_adi,9654572977.0,9604340000.0,9554100082.0,9554100082.0,2,2,50236400.0
139,for.body6,adi,2.0,kernel_adi,9623015862.0,9617960000.0,9612898442.0,9612898442.0,1,3,5058710.0
140,for.body6,adi,2.0,kernel_adi,9690160142.0,9646780000.0,9603392487.0,9603392487.0,1,1,43383800.0
141,for.body6,adi,2.0,kernel_adi,9763153894.0,9741930000.0,9720707457.0,9720707457.0,2,6,21223200.0
142,for.body6,adi,2.0,kernel_adi,9614943516.0,9610920000.0,9606899201.0,9606899201.0,1,5,4022160.0
143,for.body6,adi,2.0,kernel_adi,9635415094.0,9614040000.0,9592663108.0,9592663108.0,2,5,21376000.0
144,for.body6,adi,2.0,kernel_adi,9407752197.0,9405520000.0,9403288382.0,9403288382.0,1,0,2231910.0
145,for.body6,adi,2.0,kernel_adi,9702297400.0,9638570000.0,9574846617.0,9574846617.0,2,4,63725400.0
146,for.body6,adi,2.0,kernel_adi,9631043502.0,9588650000.0,9546264363.0,9546264363.0,1,2,42389600.0
147,for.body6,adi,2.0,kernel_adi,9520629234.0,9507170000.0,9493718694.0,9493718694.0,1,8,13455300.0
148,for.body6,adi,2.0,kernel_adi,9684949533.0,9674960000.0,9664969776.0,9664969776.0,2,3,9989880.0
149,for.body6,adi,2.0,kernel_adi,9573580484.0,9569860000.0,9566144604.0,9566144604.0,2,0,3717940.0
150,for.body6,adi,2.0,kernel_adi,9637885525.0,9626580000.0,9615267592.0,9615267592.0,1,10,11309000.0
151,for.body6,adi,2.0,kernel_adi,9735391236.0,9718640000.0,9701885744.0,9701885744.0,2,1,16752700.0
152,for.body6,adi,2.0,kernel_adi,9637197358.0,9597400000.0,9557593301.0,9557593301.0,2,8,39802000.0
153,for.body6,adi,2.0,kernel_adi,9726866891.0,9704700000.0,9682535972.0,9682535972.0,2,10,22165500.0
154,while.body23,agrep,2902.0,s_output,216197.0,4424.71,4218.0,729.0,1,7,5121.31
155,while.body23,agrep,2902.0,s_output,174791.0,4411.58,4167.0,625.0,1,6,5263.85
156,while.body23,agrep,2902.0,s_output,148645.0,4417.83,4270.0,677.0,2,7,4067.63
157,while.body23,agrep,2902.0,s_output,95676.0,4218.23,4063.0,781.0,1,4,2933.19
158,while.body23,agrep,2902.0,s_output,180624.0,4645.14,4323.0,729.0,2,9,5142.48
159,while.body23,agrep,2902.0,s_output,192551.0,4524.79,4219.0,677.0,1,9,5507.85
160,while.body23,agrep,2902.0,s_output,213801.0,4410.43,4166.0,677.0,2,2,5712.08
161,while.body23,agrep,2902.0,s_output,160937.0,4290.31,4062.0,729.0,1,3,3889.04
162,while.body23,agrep,2902.0,s_output,157863.0,4713.17,4323.0,782.0,1,1,4909.43
163,while.body23,agrep,2902.0,s_output,159062.0,4322.5,4115.0,677.0,2,6,4786.78
164,while.body23,agrep,2902.0,s_output,143593.0,4037.48,3906.0,625.0,1,5,3504.5
165,while.body23,agrep,2902.0,s_output,155416.0,4842.7,4531.0,625.0,2,5,4664.67
166,while.body23,agrep,2902.0,s_output,151978.0,5089.66,4739.0,781.0,1,0,5208.04
167,while.body23,agrep,2902.0,s_output,125884.0,4522.57,4271.0,677.0,2,4,3748.61
168,while.body23,agrep,2902.0,s_output,142811.0,3965.66,3854.0,625.0,1,2,3529.37
169,while.body23,agrep,2902.0,s_output,151041.0,4026.5,3906.0,625.0,1,8,3940.18
170,while.body23,agrep,2902.0,s_output,157395.0,4456.55,4219.0,729.0,2,3,3936.58
171,while.body23,agrep,2902.0,s_output,144895.0,4416.65,4270.0,677.0,2,0,4047.83
172,while.body23,agrep,2902.0,s_output,144739.0,4047.68,3906.0,625.0,1,10,3574.57
173,while.body23,agrep,2902.0,s_output,154843.0,4517.82,4271.0,730.0,2,1,4121.83
174,while.body23,agrep,2902.0,s_output,139739.0,4363.73,4167.0,677.0,2,8,3943.46
175,while.body23,agrep,2902.0,s_output,242916.0,4687.56,4375.0,625.0,2,10,6722.4
176,while.body,anagram,560.0,FindAnagram,6924486.0,5024190.0,6816882.0,39948.0,1,7,1986140.0
177,while.body,anagram,560.0,FindAnagram,6411103.0,4411600.0,5932201.0,37448.0,1,6,1676030.0
178,while.body,anagram,560.0,FindAnagram,6925892.0,5010750.0,6800893.0,39531.0,2,7,1971350.0
179,while.body,anagram,560.0,FindAnagram,5721785.0,4178850.0,5598661.0,35625.0,1,4,1565500.0
180,while.body,anagram,560.0,FindAnagram,5572151.0,4064740.0,5440642.0,35312.0,2,9,1516670.0
181,while.body,anagram,560.0,FindAnagram,5588453.0,4073180.0,5444860.0,35990.0,1,9,1524580.0
182,while.body,anagram,560.0,FindAnagram,6544124.0,4733650.0,6393500.0,39010.0,2,2,1829440.0
183,while.body,anagram,560.0,FindAnagram,6165011.0,4413870.0,5935326.0,37240.0,1,3,1679490.0
184,while.body,anagram,560.0,FindAnagram,6062825.0,4423510.0,5947825.0,37396.0,1,1,1689160.0
185,while.body,anagram,560.0,FindAnagram,6166887.0,4448520.0,5973086.0,41042.0,2,6,1708510.0
186,while.body,anagram,560.0,FindAnagram,5506995.0,4061810.0,5437725.0,35260.0,1,5,1513980.0
187,while.body,anagram,560.0,FindAnagram,5831056.0,4115630.0,5509547.0,39375.0,2,5,1561690.0
188,while.body,anagram,560.0,FindAnagram,6950059.0,4390340.0,5898555.0,36510.0,1,0,1677000.0
189,while.body,anagram,560.0,FindAnagram,5734181.0,4187700.0,5605692.0,36094.0,2,4,1572980.0
190,while.body,anagram,560.0,FindAnagram,6627821.0,4739820.0,6395583.0,38906.0,1,2,1835710.0
191,while.body,anagram,560.0,FindAnagram,6086575.0,4411120.0,5932773.0,37135.0,1,8,1675980.0
192,while.body,anagram,560.0,FindAnagram,6213761.0,4420900.0,5938763.0,37552.0,2,3,1686210.0
193,while.body,anagram,560.0,FindAnagram,6046887.0,4379670.0,5895482.0,36875.0,2,0,1670540.0
194,while.body,anagram,560.0,FindAnagram,6490166.0,4726660.0,6385062.0,38854.0,1,10,1827500.0
195,while.body,anagram,560.0,FindAnagram,6076471.0,4418930.0,5939179.0,37552.0,2,1,1684110.0
196,while.body,anagram,560.0,FindAnagram,6102408.0,4420070.0,5938763.0,37239.0,2,8,1685460.0
197,while.body,anagram,560.0,FindAnagram,6564488.0,4735530.0,6395792.0,38802.0,2,10,1835640.0
198,while.body243,analyzer,1.0,main,230201468.0,115101000.0,8003586.0,230201468.0,1,7,115101000.0
199,while.body243,analyzer,1.0,main,231499579.0,115750000.0,8003586.0,231499579.0,1,6,115750000.0
200,while.body243,analyzer,1.0,main,231474527.0,115737000.0,8003586.0,231474527.0,2,7,115737000.0
201,while.body243,analyzer,1.0,main,231301611.0,115651000.0,8003586.0,231301611.0,1,4,115651000.0
202,while.body243,analyzer,1.0,main,233487423.0,116744000.0,8003586.0,233487423.0,2,9,116744000.0
203,while.body243,analyzer,1.0,main,230058190.0,115029000.0,8003586.0,230058190.0,1,9,115029000.0
204,while.body243,analyzer,1.0,main,231988482.0,115994000.0,8003586.0,231988482.0,2,2,115994000.0
205,while.body243,analyzer,1.0,main,228941006.0,114471000.0,8003586.0,228941006.0,1,3,114471000.0
206,while.body243,analyzer,1.0,main,231054529.0,115527000.0,8003586.0,231054529.0,1,1,115527000.0
207,while.body243,analyzer,1.0,main,235663699.0,117832000.0,8003586.0,235663699.0,2,6,117832000.0
208,while.body243,analyzer,1.0,main,231211869.0,115606000.0,8003586.0,231211869.0,1,5,115606000.0
209,while.body243,analyzer,1.0,main,230698020.0,115349000.0,8003586.0,230698020.0,2,5,115349000.0
210,while.body243,analyzer,1.0,main,242903399.0,121452000.0,8003586.0,242903399.0,1,0,121452000.0
211,while.body243,analyzer,1.0,main,234888132.0,117444000.0,8003586.0,234888132.0,2,4,117444000.0
212,while.body243,analyzer,1.0,main,230940734.0,115470000.0,8003586.0,230940734.0,1,2,115470000.0
213,while.body243,analyzer,1.0,main,230339065.0,115170000.0,8003586.0,230339065.0,1,8,115170000.0
214,while.body243,analyzer,1.0,main,231397801.0,115699000.0,8003586.0,231397801.0,2,3,115699000.0
215,while.body243,analyzer,1.0,main,230055315.0,115028000.0,8003586.0,230055315.0,2,0,115028000.0
216,while.body243,analyzer,1.0,main,229574544.0,114787000.0,8003586.0,229574544.0,1,10,114787000.0
217,while.body243,analyzer,1.0,main,235185941.0,117593000.0,8003586.0,235185941.0,2,1,117593000.0
218,while.body243,analyzer,1.0,main,230574687.0,115287000.0,8003586.0,230574687.0,2,8,115287000.0
219,while.body243,analyzer,1.0,main,231678531.0,115839000.0,8003586.0,231678531.0,2,10,115839000.0
220,for.body8,atax,1.0,kernel_atax_StrictFP,277932600.0,138966000.0,8003586.0,277932600.0,1,7,138966000.0
221,for.body8,atax,1.0,kernel_atax_StrictFP,289053097.0,144527000.0,8003586.0,289053097.0,1,6,144527000.0
222,for.body8,atax,1.0,kernel_atax_StrictFP,278058956.0,139029000.0,8003586.0,278058956.0,2,7,139029000.0
223,for.body8,atax,1.0,kernel_atax_StrictFP,288858935.0,144429000.0,8003586.0,288858935.0,1,4,144429000.0
224,for.body8,atax,1.0,kernel_atax_StrictFP,277798274.0,138899000.0,8003586.0,277798274.0,2,9,138899000.0
225,for.body8,atax,1.0,kernel_atax_StrictFP,277744469.0,138872000.0,8003586.0,277744469.0,1,9,138872000.0
226,for.body8,atax,1.0,kernel_atax_StrictFP,288638624.0,144319000.0,8003586.0,288638624.0,2,2,144319000.0
227,for.body8,atax,1.0,kernel_atax_StrictFP,289106413.0,144553000.0,8003586.0,289106413.0,1,3,144553000.0
228,for.body8,atax,1.0,kernel_atax_StrictFP,288582771.0,144291000.0,8003586.0,288582771.0,1,1,144291000.0
