,basicblock,benchmark,count,function,max,mean,median,min,run,seed,stddev
53,while.body23,agrep,2902.0,s_output,304000.0,29712.2,28000.0,4000.0,1,7,28714.8
54,while.body23,agrep,2902.0,s_output,357000.0,29839.2,28000.0,4000.0,1,10,29788.7
55,while.body23,agrep,2902.0,s_output,361000.0,29962.1,28000.0,4000.0,2,0,30569.0
56,while.body23,agrep,2902.0,s_output,294000.0,29430.9,28000.0,4000.0,2,1,26717.7
57,while.body23,agrep,2902.0,s_output,311000.0,29649.1,28000.0,4000.0,2,2,27991.1
58,while.body23,agrep,2902.0,s_output,439000.0,30438.8,28000.0,4000.0,2,4,34530.4
59,while.body23,agrep,2902.0,s_output,327000.0,29880.2,28000.0,5000.0,2,3,30265.8
60,while.body23,agrep,2902.0,s_output,343000.0,29693.2,28000.0,4000.0,2,5,28650.6
61,while.body23,agrep,2902.0,s_output,270000.0,29374.2,28000.0,4000.0,2,6,25924.4
62,while.body23,agrep,2902.0,s_output,289000.0,29511.7,28000.0,4000.0,2,8,27195.4
63,while.body23,agrep,2902.0,s_output,360000.0,29559.5,28000.0,4000.0,2,9,27709.6
64,while.body23,agrep,2902.0,s_output,315000.0,29704.1,28000.0,4000.0,2,7,28710.3
65,while.body23,agrep,2902.0,s_output,533000.0,30964.8,28000.0,4000.0,2,10,39489.7
66,entry,almabench,5844000.0,planetpv,40000.0,18333.1,18000.0,13000.0,1,0,1221.51
67,entry,almabench,5844000.0,planetpv,40000.0,18277.2,18000.0,13000.0,1,1,1214.27
68,entry,almabench,5844000.0,planetpv,39000.0,18295.1,18000.0,13000.0,1,2,1210.97
69,entry,almabench,5844000.0,planetpv,39000.0,18401.6,18000.0,14000.0,1,4,1215.35
70,entry,almabench,5844000.0,planetpv,39000.0,18216.3,18000.0,13000.0,1,3,1216.29
71,entry,almabench,5844000.0,planetpv,40000.0,18316.2,18000.0,13000.0,1,5,1220.19
72,entry,almabench,5844000.0,planetpv,40000.0,18380.3,18000.0,13000.0,1,6,1212.89
73,entry,almabench,5844000.0,planetpv,39000.0,18228.6,18000.0,13000.0,1,7,1214.29
74,entry,almabench,5844000.0,planetpv,40000.0,18482.5,18000.0,14000.0,1,8,1224.64
75,entry,almabench,5844000.0,planetpv,39000.0,18282.0,18000.0,13000.0,1,9,1212.41
76,entry,almabench,5844000.0,planetpv,39000.0,18321.0,18000.0,13000.0,1,10,1219.33
77,entry,almabench,5844000.0,planetpv,40000.0,18335.6,18000.0,13000.0,2,0,1221.56
78,entry,almabench,5844000.0,planetpv,39000.0,18277.1,18000.0,13000.0,2,1,1213.77
79,entry,almabench,5844000.0,planetpv,39000.0,18299.5,18000.0,13000.0,2,2,1213.08
80,entry,almabench,5844000.0,planetpv,40000.0,18404.0,18000.0,13000.0,2,4,1215.47
81,entry,almabench,5844000.0,planetpv,39000.0,18219.5,18000.0,13000.0,2,3,1216.74
82,entry,almabench,5844000.0,planetpv,39000.0,18320.3,18000.0,14000.0,2,5,1221.75
83,entry,almabench,5844000.0,planetpv,39000.0,18382.9,18000.0,13000.0,2,6,1213.52
84,entry,almabench,5844000.0,planetpv,39000.0,18232.4,18000.0,13000.0,2,7,1213.97
85,entry,almabench,5844000.0,planetpv,40000.0,18478.8,18000.0,13000.0,2,8,1223.12
86,entry,almabench,5844000.0,planetpv,39000.0,18283.7,18000.0,13000.0,2,9,1212.44
87,entry,almabench,5844000.0,planetpv,39000.0,18321.7,18000.0,13000.0,2,10,1218.91
88,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9840000.0,9838840.0,9839000.0,9837000.0,1,0,558.658
89,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9699000.0,9697140.0,9697000.0,9696000.0,1,1,564.199
90,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9679000.0,9677500.0,9678000.0,9676000.0,1,2,572.0
91,for.body40,AMGmk,2000.0,hypre_BoomerAMGSeqRelax,9449000.0,9447100.0,9447000.0,9445000.0,1,3,560.443
